Uruguay,798,1369,1731.3,1920,1947,1968,1989,2010,2031
Uzbekistan,2549.37,2961.46,3349.6,3549.4,3586.3,3612.14,3637.98,3663.82,3689.66
Vanuatu,442.3,442.3,442.3,442.3,442.3,442.3,442.3,442.3,442.3
Venezuela (Bolivarian Republic of),52026,49151,47505,46683,46543.26,46428.18,46337.76,46272,46230.9
Viet Nam,9375.96,11784.1,13388.06,14061.86,14377.68,14415.39,14491.29,14567.19,14643.09
Wallis and Futuna Islands (Desk study),5.8,5.81,5.82,5.83,5.83,5.83,5.83,5.83,5.83
Western Sahara (Desk study),665.1,669.31,665.11,664.7,665.11,664.7,665.14,665.05,665.07
Yemen,549,549,549,549,549,549,549,549,549
Zambia,47412,47054,46696,45755.1,45566.8,45378.67,45190.46,45002.24,44814.03
Zimbabwe,18826.68,18365.98,17905.28,17674.93,17628.86,17582.79,17536.72,17490.65,17444.58
© FRA 2021,,,,,,,,,
2021-01-05,,,,,,,,,
